,,,,,,,,,,,,,,,,,,
19.54,1.12,22.25,78.19,16.39,1.05,21.12,73.76,NiOx,0,0,1,1,3,0,0,PMMA,ETL_I.M.,"10.1039/C9CC0
7517H"
18.63,1.11,22.05,76.24,16.39,1.05,21.12,73.76,NiOx,0,0,1,1,3,0,0,PMMA,HTL_I.M.,"10.1039/C9CC0
7517H"
20.68,1.08,23.45,80.91,18.22,1.06,21.28,80.66,Others,0,0.2,0.8,1.037,2.798,0,0.202,2-MI,HTL_I.M.,"10.1002/aelm.2
02000604"
20.30,1.10,23.90,77.10,17.10,1.09,22.20,70.60,PTAA,0,0,1,1.05,3,0,0,"2FBT2FP
DI",ETL_I.M.,"10.1021/acssusc
hemeng.0c0308"
16.50,0.99,21.10,79.10,15.30,0.98,20.30,76.90,Others,0,0,1,1.077,2.795,0,0.205,PPDIDTT,ETL_I.M.,"10.1039/C6QM
00309E"
20.12,1.12,21.70,82.78,16.43,1.04,20.73,76.19,NiOx,0,0,1,1,3,0,0,carnitine,B.M.,"10.1021/acsami.
0c22817"
19.51,1.10,22.46,78.79,17.39,1.04,20.79,80.65,PTAA,0,0,1,1.005,3,0,0,PMMA,HTL_I.M.,"10.1021/acsaem
.0c00561"
20.17,1.08,23.92,78.40,14.53,1.01,21.01,68.70,NiOx,0,0,1,1,3,0,0,PHIA,B.M.,"10.1021/acs.che
mmater.1c0143"
21.47,1.11,23.50,82.00,19.31,1.10,22.13,79.27,PTAA,0,0,1,1,3,0,0,TOAB,ETL_I.M.,"10.1016/j.nanoe
n.2021.105882"
16.25,1.03,20.91,75.60,12.53,0.94,18.86,70.50,NiOx,0,0,1,1,3,0,0,PTZ-1,HTL_I.M.,"10.1021/acsami.
9b09530"
17.00,1.04,21.45,76.00,12.53,0.94,18.86,70.50,NiOx,0,0,1,1,3,0,0,PTZ-2,HTL_I.M.,"10.1021/acsami.
9b09530"
19.36,1.05,22.95,80.30,18.25,1.06,22.82,75.20,NiOx,0,0,1,1,3,0,0,KSCN,HTL_I.M.,"10.1039/D0QM
01064B"
18.56,1.08,22.81,75.70,18.25,1.06,22.82,75.20,NiOx,0,0,1,1,3,0,0,KNO3,HTL_I.M.,"10.1039/D0QM
01064B"
20.82,1.13,22.94,80.40,20.25,1.10,22.73,81.00,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,PEAI,ETL_I.M.,"10.1016/j.scib.2
021.02.029"
18.04,1.12,21.08,76.41,15.87,1.05,21.32,70.60,NiOx,0,0,1,1,3,0,0,PEA-SCN,B.M.,"10.1021/acsaem
.1c02113"
20.40,1.07,23.70,80.40,17.60,1.04,21.00,80.40,NiOx,0,0,1,1,3,0,0,TPMA,HTL_I.M.,"10.1021/acsami.
2c01625"
20.34,1.11,22.72,80.28,19.23,1.08,21.71,81.50,PTAA,0,0,1,1,3,0,0,PVP,ETL_I.M.,"10.1021/acsaem
.1c04056"
20.23,1.13,22.86,78.16,18.67,1.07,22.83,76.54,PTAA,0.048,0.794,0.159,0.952,2.508,0.492,0,M2,HTL_I.M.,"10.1021/acsami.
1c21000"
18.90,1.07,22.70,77.40,16.02,1.01,21.83,72.70,NiOx,0.1,0.9,0,1.05,3,0,0,PPS,B.M.,"10.1021/acssusc
hemeng.0c0041"
18.70,1.08,23.30,74.70,17.30,1.06,23.20,70.30,PTAA,0,0,1,1,3,0,0,PVC,B.M.,"10.1021/acs.jpcl
ett.0c01776"
18.40,1.11,21.70,76.30,15.50,1.07,19.60,74.20,NiOx,0,0,1,1.063,3,0,0,Br-BA,HTL_I.M.,"10.1002/cssc.20
1701262"
17.60,1.10,21.70,76.30,15.50,1.07,19.60,74.20,NiOx,0,0,1,1.063,3,0,0,Cl-BA,HTL_I.M.,"10.1002/cssc.20
1701262"
16.20,1.05,20.30,76.20,15.50,1.07,19.60,74.20,NiOx,0,0,1,1.063,3,0,0,H-BA,HTL_I.M.,"10.1002/cssc.20
1701262"
19.64,1.11,21.90,80.80,18.80,1.08,21.90,79.30,PTAA,0.042,0.728,0.23,0.802,2.582,0.227,0.192,CA-1,ETL_I.M.,"10.1021/acsami.
1c11683"
20.30,1.12,22.10,82.00,18.80,1.08,21.90,79.30,PTAA,0.042,0.728,0.23,0.802,2.582,0.227,0.192,CA-2,ETL_I.M.,"10.1021/acsami.
1c11683"
21.40,1.16,22.28,83.07,18.80,1.08,21.90,79.30,PTAA,0.042,0.728,0.23,0.802,2.582,0.227,0.192,CA-3,ETL_I.M.,"10.1021/acsami.
1c11683"
20.20,1.12,23.50,76.30,18.20,1.10,22.70,73.20,PTAA,0,0,1,0.952,3,0,0,"IDTT2NP
I",ETL_I.M.,"10.1021/acsami.
0c11620"
20.89,1.13,23.32,79.37,19.13,1.08,23.01,77.29,NiOx,0,0,1,1,3,0,0,LS1,HTL_I.M.,"10.1021/acsami.
1c22396"
19.46,1.08,23.42,77.82,17.59,1.05,22.98,75.62,Others,0,0,1,1,3,0,0,PEABr,HTL_I.M.,"10.1016/j.solen
er.2020.05.042"
20.20,1.11,23.52,77.40,18.70,1.09,22.59,76.20,PTAA,0.051,0.807,0.142,1.022,2.719,0.281,0,Y6,ETL_I.M.,"10.1016/j.joule.
2020.06.007"
20.02,1.09,22.23,82.61,17.46,1.06,21.45,76.82,PTAA,0,0,1,1.08,3,0,0,P4VP,ETL_I.M.,"10.1039/C9TC0
6578D"
21.88,1.13,23.10,83.81,19.16,1.08,22.26,79.70,PTAA,0,0,1,1.08,3,0,0,capsaicin,B.M.,"10.1016/j.joule.
2020.12.009"
20.15,1.09,23.19,79.73,18.10,1.07,21.55,78.51,PTAA,0,0,1,1,3,0,0,ITCC,ETL_I.M.,"10.1002/solr.20
2100864"
19.24,1.07,22.79,78.92,18.10,1.07,21.55,78.51,PTAA,0,0,1,1,3,0,0,IT-M,ETL_I.M.,"10.1002/solr.20
2100864"
21.21,1.15,23.25,79.33,18.37,1.10,22.06,75.70,PTAA,0,0.85,0.15,1,2.55,0.45,0,ITCC,ETL_I.M.,"10.1002/solr.20
2100864"
17.63,1.08,22.03,74.11,15.49,1.02,21.46,70.76,NiOx,0.037,0.886,0.077,0.963,2.762,0.238,0,PSICx,HTL_I.M.,"10.1016/j.dyepi
g.2021.109837"
16.90,1.06,22.08,72.18,15.49,1.02,21.46,70.76,NiOx,0.037,0.886,0.077,0.963,2.762,0.238,0,PSIC,HTL_I.M.,"10.1016/j.dyepi
g.2021.109837"
15.04,0.99,20.05,77.00,13.13,0.91,18.97,76.00,Others,0,0,1,1,3,0,0,"PTMA-
BP",HTL_I.M.,"10.1039/C7TA0
7732G"
20.32,1.11,23.58,77.64,18.25,1.07,22.96,74.55,PTAA,0.039,0.817,0.144,1.034,2.555,0.445,0,4-ABSA,B.M.,"10.1021/acsami.
1c04601"
20.49,1.08,23.08,82.42,18.36,1.03,22.33,79.88,NiOx,0,0,1,1,3,0,0,ETT,ETL_I.M.,"10.1016/j.cej.20
20.127579"
18.13,1.11,21.36,76.16,16.31,1.07,20.33,74.86,NiOx,0,0,1,0.998,2.819,0,0.181,3-PA,HTL_I.M.,"10.1021/acsaem
.1c01017"
17.66,1.12,20.95,75.30,16.31,1.07,20.33,74.86,NiOx,0,0,1,0.998,2.819,0,0.181,4-PA,HTL_I.M.,"10.1021/acsaem
.1c01017"
16.34,1.09,19.91,75.40,16.31,1.07,20.33,74.86,NiOx,0,0,1,0.998,2.819,0,0.181,2-PA,HTL_I.M.,"10.1021/acsaem
.1c01017"
20.54,1.11,22.51,82.20,18.09,1.08,21.31,78.60,NiOx,0,0,1,1.024,3,0,0,GuaBF4,ETL_I.M.,"10.1016/j.solma
t.2022.111682"
21.01,1.12,22.76,82.34,19.02,1.08,22.31,78.89,PTAA,0,0,1,1,3,0,0,HTAB,HTL_I.M.,"10.1021/acsami.
1c22020"
17.29,1.07,20.84,71.33,14.82,0.99,20.05,69.15,Others,0,0,1,1,3,0,0,GMS,HTL_I.M.,"10.1021/acsaem
.0c03249"
23.37,1.17,24.92,80.17,20.76,1.06,24.93,78.57,PTAA,0.035,0.636,0.329,0.669,2.492,0.129,0.38,PI,ETL_I.M.,"10.1021/jacs.0c
09845"
21.98,1.13,24.61,79.03,20.76,1.06,24.93,78.57,PTAA,0.035,0.636,0.329,0.669,2.492,0.129,0.38,PDI,ETL_I.M.,"10.1021/jacs.0c
09845"
21.00,1.13,22.91,81.00,19.08,1.08,21.65,82.00,PTAA,0.04,0.8,0.16,1.04,2.532,0.468,0,IT-DOH,B.M.,"10.1039/D1EE0
2248B"
19.85,1.10,22.20,81.00,19.08,1.08,21.65,82.00,PTAA,0.04,0.8,0.16,1.04,2.532,0.468,0,ITIC,B.M.,"10.1039/D1EE0
2248B"
22.09,1.12,24.97,79.00,19.98,1.09,23.20,79.00,PTAA,0.048,0.952,0,0.952,3,0,0,IT-DOH,B.M.,"10.1039/D1EE0
2248B"
20.89,1.10,24.04,79.00,19.98,1.09,23.20,79.00,PTAA,0.048,0.952,0,0.952,3,0,0,ITIC,B.M.,"10.1039/D1EE0
2248B"
19.50,1.11,21.90,80.00,18.50,1.08,22.50,76.00,PTAA,0,0,1,1,3,0,0,FEAI,B.M.,"10.1038/s41467
-020-20272-3"
20.39,1.20,20.72,81.73,19.09,1.15,20.55,81.01,NiOx,0.21,0.743,0.048,0.955,2.513,0.34,0.147,TFBA,B.M.,"10.1002/inf2.12
307"
21.30,1.13,23.80,79.20,18.50,1.07,23.40,73.70,NiOx,0,0,1,1,2.909,0,0.091,"SFX-Py-
PDI2",ETL_I.M.,"10.1016/j.cej.20
22.135410"
21.28,1.10,23.15,83.58,17.87,1.07,21.23,78.68,NiOx,0,0,1,1,3,0,0,FPA,B.M.,"10.1002/solr.20
2101101"
20.15,1.10,23.53,77.86,17.91,1.06,21.57,78.34,Others,0,0,1,1,3,0,0,ATPS,HTL_I.M.,"10.1002/cnma.2
02200041"
21.76,1.18,22.56,81.76,18.72,1.08,22.03,78.68,NiOx,0.07,0.772,0.158,0.93,2.502,0.498,0,ABF,B.M.,"10.1002/adfm.2
02200431"
20.11,1.21,20.98,79.45,17.85,1.13,20.21,78.14,NiOx,0.07,0.698,0.233,0.93,2.268,0.732,0,ABF,B.M.,"10.1002/adfm.2
02200431"
21.26,1.16,23.02,79.74,19.54,1.15,22.25,76.04,PTAA,0,0,1,1,2.8,0,0.2,HEC,B.M.,"10.1002/eem2.1
2426"
22.98,1.16,24.62,80.38,21.23,1.15,24.01,76.75,PTAA,0.05,0.85,0.1,1,2.8,0,0.2,HEC,B.M.,"10.1002/eem2.1
2426"
22.65,1.18,24.72,77.52,21.02,1.18,24.25,73.52,PTAA,0,1,0,1,2.8,0,0.2,HEC,B.M.,"10.1002/eem2.1
2426"
18.43,1.09,21.50,78.60,14.53,1.05,19.15,72.50,NiOx,0,0,1,1,3,0,0,MAD,HTL_I.M.,"10.1002/cnma.2
02200091"
20.90,1.12,22.81,81.90,18.00,1.05,21.96,78.00,Others,0.15,0.85,0,1,2.85,0.15,0,C343,B.M.,"10.1016/j.nanoe
n.2022.106935"
20.27,1.09,23.12,80.15,18.75,1.03,22.35,81.29,NiOx,0,0,1,1,3,0,0,Cl-HOBT,B.M.,"10.1016/j.jeche
m.2021.06.029"
18.96,1.12,22.28,76.00,15.45,1.09,22.50,63.00,NiOx,0,0.677,0.323,0.806,2.481,0.222,0.296,PEAI,ETL_I.M.,"10.1002/solr.20
2101082"
20.52,1.14,23.38,77.00,18.96,1.12,22.28,76.00,NiOx,0,0.677,0.323,0.806,2.481,0.222,0.296,OAm,B.M.,"10.1002/solr.20
2101082"
19.40,1.09,23.13,76.78,18.92,1.07,22.96,76.74,PTAA,0,0,1,1,3,0,0,AIBA,ETL_I.M.,"10.1021/acsami.
1c22454"
22.23,1.15,23.71,81.31,20.08,1.12,22.85,78.76,PTAA,0.029,0.689,0.282,0.915,2.583,0.173,0.244,ZC3,B.M.,"10.1021/jacsau.
2c00160"
21.77,1.15,23.66,80.29,20.08,1.12,22.85,78.76,PTAA,0.029,0.689,0.282,0.915,2.583,0.173,0.244,ZC4,B.M.,"10.1021/jacsau.
2c00160"
22.75,1.17,23.58,82.80,20.08,1.12,22.85,78.76,PTAA,0.029,0.689,0.282,0.915,2.583,0.173,0.244,MeZC3,B.M.,"10.1021/jacsau.
2c00160"
23.15,1.16,23.87,83.43,20.08,1.12,22.85,78.76,PTAA,0.029,0.689,0.282,0.915,2.583,0.173,0.244,OMeZC3,B.M.,"10.1021/jacsau.
2c00160"
20.80,1.13,22.94,80.40,19.10,1.08,22.40,78.80,Others,0.05,0.798,0.152,0.998,2.609,0.388,0.002,OLAI,ETL_I.M.,"10.1126/science
.abm5784"
20.60,1.15,22.62,79.00,19.00,1.08,22.40,78.80,Others,0,0,1,1,3,0,0,OLAI,ETL_I.M.,"10.1126/science
.abm5784"
23.60,1.15,24.13,84.20,21.70,1.12,23.39,82.73,Others,0,0.2,0.8,1,3,0,0,OLAI,ETL_I.M.,"10.1126/science
.abm5784"
24.30,1.19,25.13,80.15,22.30,1.13,24.36,80.40,Others,0.031,0.898,0.071,1.029,2.996,0,0.004,OLAI,ETL_I.M.,"10.1126/science
.abm5784"
17.20,1.11,20.10,80.00,11.90,1.00,17.30,70.00,NiOx,0,0,1,1.077,2.795,0,0.205,"MeO-
2PACz",HTL_I.M.,"10.1021/acsome
ga.2c00509"
19.48,1.11,21.67,81.00,18.32,1.09,21.01,80.00,NiOx,0,0,1,1,3,0,0,SA,B.M.,"10.1016/j.apsus
c.2022.152670"
20.30,1.11,22.30,82.00,18.32,1.09,21.01,80.00,NiOx,0,0,1,1,3,0,0,PTA,B.M.,"10.1016/j.apsus
c.2022.152670"
20.87,1.12,22.73,82.00,18.32,1.09,21.01,80.00,NiOx,0,0,1,1,3,0,0,BPDA,B.M.,"10.1016/j.apsus
c.2022.152670"
20.82,1.13,22.94,80.40,20.25,1.10,22.73,81.00,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,PEAI,ETL_I.M.,"10.1016/j.scib.2
021.02.029"
22.00,1.16,23.31,81.20,20.82,1.13,22.94,80.40,NiOx,0.048,0.81,0.143,1.02,2.577,0.423,0,Cl6SubPc,ETL_I.M.,"10.1016/j.scib.2
021.02.029"
20.31,1.19,20.94,81.80,17.97,1.08,20.85,79.30,PTAA,0.2,0.8,0,1,2.4,0.6,0,TEACl,ETL_I.M.,"10.1016/j.nanoe
n.2021.106608"
18.90,1.09,21.80,79.70,17.50,1.08,20.50,78.20,NiOx,0,0,1,1,3,0,0,C4,ETL_I.M.,"10.1016/j.dyepi
g.2021.109385"
18.70,1.09,21.30,79.90,17.50,1.08,20.50,78.20,NiOx,0,0,1,1,3,0,0,C3A,ETL_I.M.,"10.1016/j.dyepi
g.2021.109385"
19.70,1.10,22.30,80.00,17.50,1.08,20.50,78.20,NiOx,0,0,1,1,3,0,0,C3AI,ETL_I.M.,"10.1016/j.dyepi
g.2021.109385"
18.83,1.11,21.15,79.90,17.79,1.11,21.23,76.08,NiOx,0,0,1,1,3,0,0,CL-2,HTL_I.M.,"10.1039/D0QM
00728E"
19.67,1.12,21.76,80.72,17.79,1.11,21.23,76.08,NiOx,0,0,1,1,3,0,0,CL-3,HTL_I.M.,"10.1039/D0QM
00728E"
21.65,1.12,23.40,82.60,20.65,1.08,23.50,81.05,PTAA,0,0.2,0.8,1,3,0,0,PEAI,HTL_I.M.,"10.1002/adfm.2
02104036"
21.69,1.12,23.39,82.73,20.65,1.08,23.50,81.05,PTAA,0,0.2,0.8,1,3,0,0,4-AEPI,HTL_I.M.,"10.1002/adfm.2
02104036"
21.63,1.12,23.46,82.29,20.65,1.08,23.50,81.05,NiOx,0,0.2,0.8,1,3,0,0,PDMAI2,HTL_I.M.,"10.1002/adfm.2
02104036"
20.21,1.14,22.42,79.10,17.17,1.07,21.29,75.30,NiOx,0,0.1,0.9,1,2.948,0,0.052,PN4N,HTL_I.M.,"10.1002/admi.2
02100920"
18.20,1.03,23.00,76.50,18.10,1.06,24.10,70.70,NiOx,0,0,1,1,3,0,0,EMIMCl,ETL_I.M.,"10.1016/j.jcis.2
022.04.117"
20.00,1.11,23.70,76.00,18.10,1.06,24.10,70.70,NiOx,0,0,1,1,3,0,0,EMIMBr,ETL_I.M.,"10.1016/j.jcis.2
022.04.117"
19.00,1.09,23.60,74.00,18.10,1.06,24.10,70.70,NiOx,0,0,1,1,3,0,0,EMIMI,ETL_I.M.,"10.1016/j.jcis.2
022.04.117"
19.42,1.16,21.30,78.00,18.11,1.17,20.10,77.00,PTAA,0.15,0.65,0.2,1.02,2.4,0.6,0,KAc,HTL_I.M.,"10.1002/solr.20
2000793"
20.06,1.13,22.30,80.00,19.08,1.14,21.10,79.00,PTAA,0.15,0.65,0.2,1.02,2.7,0.3,0,KAc,HTL_I.M.,"10.1002/solr.20
2000793"
20.16,1.12,21.98,82.01,17.83,1.06,21.32,78.58,NiOx,0.055,0.803,0.142,1.024,2.581,0.419,0,BDT-POZ,HTL_I.M.,"10.1016/j.jeche
m.2021.11.029"
15.47,1.06,19.84,73.60,14.14,1.02,18.51,74.90,PTAA,0.05,0.792,0.158,1.029,2.534,0.466,0,DMBG,HTL_I.M.,"10.1016/j.orgel.
2022.106525"
17.47,1.09,20.62,77.70,17.15,1.08,20.54,77.32,PTAA,0.037,0.608,0.356,1.024,1.95,1.05,0,"MPS2-
TMA",HTL_I.M.,"10.1002/adma.2
02002333"
18.59,1.11,20.36,78.41,17.15,1.08,20.54,77.32,PTAA,0.037,0.608,0.356,1.024,1.95,1.05,0,"MPS4-
TMA",HTL_I.M.,"10.1002/adma.2
02002333"
18.94,1.12,21.35,79.23,17.15,1.08,20.54,77.32,PTAA,0.037,0.608,0.356,1.024,1.95,1.05,0,"MPS6-
TMA",HTL_I.M.,"10.1002/adma.2
02002333"
